wavelength(nm) b(cm/GW)
805.2388200442906 1.8703628388000986
815.1212197894754 1.8774058298699232
825.0036195346602 1.8844488209397474
834.8860192798448 1.89076147758565
844.7684190250296 1.897178467720684
851.506418851292 1.8999602313423765
865.4316184922342 1.9090687478439172
875.3140182374188 1.9139207356419745
885.1964179826036 1.9171033876139234
895.0788177277884 1.9222683758793764
904.9612174729732 1.9272246971665654
914.843617218158 1.929677014714592
924.7260169633428 1.9334856676213317
934.6084167085276 1.9355206512128311
944.4908164537122 1.9373469678260673
954.373216198897 1.941572954689334
964.2556159440817 1.9426689368786476
974.1380156892665 1.942930251154907
984.0204154344513 1.942878564963771
993.902815179636 1.9475218857835648
1003.7852149248208 1.9485135344837468
1013.6676146700056 1.941993171966441
1019.9564145078505 1.9392476100364737
1034.33081413721 1.9372944273177224
1044.213213882395 1.9430854165179658
1054.0956136275795 1.9416773949681168
1063.9780133727643 1.9387043710812912
1073.860413117949 1.9361486811509927
1083.7428128631338 1.9334886577315626
1093.6252126083186 1.9305156338447373
1103.5076123535034 1.9280642774035706
1113.3900120986882 1.9230045837341094
1123.2724118438728 1.918675224488571
1133.1548115890578 1.9138241977973733
1143.0372113342423 1.9091818380844394
1152.919611079427 1.9082954839802495
1158.7592109288544 1.908108441906335
1173.5828105466317 1.8824170410377814
1183.4652102918164 1.8832000227596997
1193.3476100370012 1.8753233248836807
1203.2300097821858 1.868698628877243
1212.2140095505356 1.861858372027287
1229.2836091104004 1.8465479990756264
1239.166008855585 1.8367932983952358
1249.0484086007698 1.8273515981822401
1258.9308083459546 1.8184315654149035
1268.8132080911394 1.8075291963540632
1278.6956078363241 1.7967311607823548
1288.5780075815087 1.7853071242758558
1295.3160074077712 1.7785684570142741
1310.1396070255482 1.7590066486322116
1320.0220067707332 1.7459132762996046
1329.9044065159178 1.7337589053691829
1339.7868062611026 1.719935198612653
1349.6692060062874 1.7057984913887279
1359.5516057514722 1.6926007855669887
1369.434005496657 1.6790900792778543
1379.3164052418415 1.6641187041408747
1389.1988049870265 1.6487299950473682
1395.9368048132887 1.6365920697232172
1410.7604044310658 1.6192160479384659
1420.6428041762506 1.597024795353568
1430.5252039214354 1.5806970848578754
1440.108137007675 1.5627189936991461
1449.944464959176 1.5432601818819296
1460.1724031569897 1.5263929454250778
1470.0548029021743 1.5089175665489358
1475.1457361042394 1.4915715811333856
1488.921202415709 1.471251384431794
1498.4442421701597 1.4511283112557032
1508.0640326913465 1.4333097378228645
1515.3341617346573 1.4164186453794145
1524.8572014891079 1.398842302990416
1531.9695346390517 1.379759274567345
1540.6540677484563 1.3668982231207214
1548.1407342220814 1.3469661483208573
1556.3610940101212 1.3319269546361148
1564.7237004611602 1.3102735779411296
1574.200092524506 1.2939017430911055
1581.6197454800454 1.274627052240116
1588.9891382970204 1.2615307719431632
1595.5857814835708 1.2427322939335683
1603.1377861373294 1.2284686636496471
1612.9602925507247 1.2069176363810672
1618.4981221515231 1.1880139420878915
1627.8138388343964 1.1723333878306934
1634.3563045480537 1.150353950215461
1643.0716651076439 1.1387416707749507
1649.6291041542484 1.1155739805240183
1657.499540926101 1.1009844326819649
1662.1626646153873 1.083266823094477
1678.5397475264415 1.0493727711877439
1685.4461973483603 1.027961326002385
1693.4799663719807 1.0129113372530139
1698.1101816372072 0.9940830156432283
1706.446296806878 0.9797211501411205
1715.6548965694365 0.9600908962670518
1722.6249830563813 0.9385547875127314
1730.515929519582 0.924148534310274
1735.7886817645774 0.9036678670883136
1743.7459387022589 0.888706560689867
1750.163081393937 0.8681789200057777
1757.4736877988416 0.8521679153436721
1760.2379954198723 0.8364833701655385
1773.994745065158 0.8108040698993251
1783.09728371934 0.7883530193028947
1791.7381446076488 0.7687496445323281
1798.0905811105195 0.7477236530329869
1805.9181788574047 0.7336164192051275
1811.3869007676774 0.7136831275508797
1819.232927232036 0.6987989141271349
1826.1580937201388 0.6777603632749085
1834.7523464397148 0.6587788859769916
1842.2374114873558 0.6417333794187656
1849.179593126535 0.6219780414914844
1858.2197428934371 0.6027790442747056
1864.5721793963078 0.5817291430174376
1872.399777143193 0.5679161831332835
1877.2373154799968 0.5498813168458137
1886.7198778728539 0.5343949515501509
1892.864292000136 0.5134383616280194
1902.2542994503247 0.4983702443085485
1910.4704359906102 0.47399081773872576
1919.5312220817666 0.45784664396946884
1926.5617777979214 0.4370282473761291
1936.20460421595 0.4199158109275509
1942.5233507196895 0.4036049998941462
1958.7843903004025 0.3728824235324595
1963.3762124042257 0.3569069764992192
1972.3887328067608 0.3413845337085868
1981.8663589360087 0.321212932655071
1991.1267894664618 0.3061485026590347
1998.7286354242963 0.2851056101229421
2006.4594824044452 0.26950985615859
2011.5653889394575 0.251400201707046
2019.6864518879527 0.2283420687080162
2029.3986284796317 0.20940508086039955
2036.1665749717888 0.18894118647871094
2043.619016684391 0.17550181465947157
2057.7367306060837 0.14337523890386716
2063.1984320525567 0.12659618025269603
2070.904707409408 0.11171269774478487
2077.6726539015644 0.09124880336309671
2087.2555869878042 0.07664242279480904
2093.9187201493305 0.056810294209244105
2102.588279925788 0.039855970518094974
2107.544453131328 0.02163950527999159
2116.3038529054684 0.008873701303018233
